epoch,loss_G,loss_S
1,-1.950670,1.402651
2,-1.101129,0.998133
3,-0.814730,0.757887
4,-1.074000,1.066414
5,-0.801814,0.720890
6,-1.627335,1.527968
7,-1.444417,1.515862
8,-0.960872,0.972349
9,-1.512399,1.518747
10,-1.297178,1.316269
11,-1.637253,1.618758
12,-1.564977,1.564616
13,-1.128554,1.075273
14,-1.221890,1.191661
15,-1.547592,1.569345
16,-0.993100,0.964351
17,-1.463031,1.454540
18,-1.653581,1.659919
19,-1.089963,1.040837
20,-0.858547,0.821202
21,-0.788396,0.728156
22,-1.889068,1.869868
23,-0.967943,0.925740
24,-1.956073,2.035971
25,-1.744668,1.495395
26,-1.752731,1.777526
27,-1.521405,1.602008
28,-1.675336,1.640381
29,-1.961316,1.902506
30,-1.767883,1.698743
31,-1.677472,1.661982
32,-1.832943,1.775956
33,-2.128025,2.113790
34,-2.014158,1.974852
35,-2.551916,2.335144
36,-1.777628,1.797212
37,-1.516240,1.638709
38,-1.446828,1.391546
39,-1.648547,1.654772
40,-1.892367,1.810808
41,-1.154268,0.978527
42,-2.129669,2.151192
43,-0.719765,0.811929
44,-2.009431,1.980935
45,-2.120099,2.182157
46,-2.183533,2.160425
47,-0.902190,0.783621
48,-1.172320,1.072826
49,-1.130475,1.033359
50,-1.591228,1.609531
51,-0.775171,0.754694
52,-1.863704,1.785951
53,-1.637865,1.654687
54,-0.676096,0.664414
55,-0.869362,0.801443
56,-1.800025,1.728823
57,-0.886875,0.908245
58,-1.876147,1.847380
59,-1.027054,1.042365
60,-1.800561,1.810582
61,-1.272720,1.302714
62,-1.082262,1.057670
63,-0.900486,0.836524
64,-2.147729,2.132142
65,-2.005107,1.973322
66,-1.920999,1.960940
67,-0.765556,0.759511
68,-1.793864,1.753123
69,-1.022799,0.966218
70,-0.933328,0.884176
71,-1.778870,1.775978
72,-1.341403,1.263077
73,-0.833878,0.814300
74,-1.899686,1.990147
75,-1.591341,1.585467
76,-1.162046,1.107192
77,-1.081502,1.036488
78,-1.921893,1.950138
79,-2.018982,2.022214
80,-0.491696,0.486234
81,-0.635081,0.654120
82,-0.584826,0.626025
83,-0.524493,0.544266
84,-1.805285,1.802230
85,-0.921127,0.978639
86,-0.828178,0.779509
87,-0.557412,0.568653
88,-2.252388,2.305730
89,-0.757056,0.665880
90,-0.769568,0.776456
91,-0.447125,0.480578
92,-0.570099,0.593240
93,-2.287351,2.310604
94,-2.293035,2.206218
95,-2.144615,2.183995
96,-1.861655,1.892000
97,-2.022461,2.000383
98,-2.230871,2.174307
99,-0.944013,0.920778
100,-1.095829,1.095251
101,-0.956256,0.987865
102,-1.913188,1.886668
103,-0.794593,0.752649
104,-0.703717,0.629984
105,-1.710999,1.769869
106,-1.775177,1.809898
107,-2.076780,2.098619
108,-0.987026,0.984232
109,-0.969674,0.930276
110,-1.942798,1.899048
111,-2.010691,2.045982
112,-0.842004,0.857293
